count,name,artist_mbid,tag,n,clust_x3,clust_x5,clust_x10,clust_x15
100,punk rock,c2a44e93-3a2b-44aa-bd8b-7a71bb76e3b5,punk_rock,70,1,1,1,1
96,pop punk,c2a44e93-3a2b-44aa-bd8b-7a71bb76e3b5,pop_punk,48,1,1,1,1
61,punk,c2a44e93-3a2b-44aa-bd8b-7a71bb76e3b5,punk,108,2,2,2,2
54,rock,c2a44e93-3a2b-44aa-bd8b-7a71bb76e3b5,rock,216,2,2,3,3
49,alternative,c2a44e93-3a2b-44aa-bd8b-7a71bb76e3b5,alternative,133,2,2,2,4
20,alternative rock,c2a44e93-3a2b-44aa-bd8b-7a71bb76e3b5,alternative_rock,76,1,1,1,1
7,american,c2a44e93-3a2b-44aa-bd8b-7a71bb76e3b5,american,169,2,2,2,2
6,emo,c2a44e93-3a2b-44aa-bd8b-7a71bb76e3b5,emo,36,1,1,1,1
6,pop-punk,c2a44e93-3a2b-44aa-bd8b-7a71bb76e3b5,pop_punk,48,1,1,1,1
100,hardcore,7be13e13-6362-4e97-aca7-edf7908cbeab,hardcore,186,2,2,4,5
60,nyhc,7be13e13-6362-4e97-aca7-edf7908cbeab,nyhc,13,3,3,5,6
30,hardcore punk,7be13e13-6362-4e97-aca7-edf7908cbeab,hardcore_punk,83,1,4,6,7
29,straight edge,7be13e13-6362-4e97-aca7-edf7908cbeab,straight_edge,62,1,4,6,7
6,metalcore,7be13e13-6362-4e97-aca7-edf7908cbeab,metalcore,124,2,2,7,8
4,punk,7be13e13-6362-4e97-aca7-edf7908cbeab,punk,108,2,2,2,2
4,american,7be13e13-6362-4e97-aca7-edf7908cbeab,american,169,2,2,2,2
3,usa,7be13e13-6362-4e97-aca7-edf7908cbeab,usa,10,3,3,8,9
100,alternative rock,d8354b38-e942-4c89-ba93-29323432abc3,alternative_rock,76,1,1,1,1
79,rock,d8354b38-e942-4c89-ba93-29323432abc3,rock,216,2,2,3,3
63,alternative,d8354b38-e942-4c89-ba93-29323432abc3,alternative,133,2,2,2,4
34,emo,d8354b38-e942-4c89-ba93-29323432abc3,emo,36,1,1,1,1
29,indie,d8354b38-e942-4c89-ba93-29323432abc3,indie,74,1,1,1,1
